@relation 1332E_Region

@attribute time {31 ms,46 ms,30 ms,15 ms,93 ms}
@attribute memory {0 KB,300 KB,3600 KB,200 KB,800 KB,3700 KB,3900 KB,4000 KB,100 KB,7100 KB}
@attribute country {India,China,'United States','South Korea',Iran,Vietnam,Bulgaria,Mexico,Indonesia,Finland,Ukraine,Syria,Romania,Taiwan,Bangladesh,Serbia,Croatia,Singapore,Argentina,Cuba,Brazil,Armenia,Belarus,'United Kingdom',Canada,Peru,Germany,Hungary,France,Spain,Colombia,Sweden,Poland,Slovakia,Italy,Venezuela,Lithuania,Czechia,Chile}
@attribute continent {Asia,America,Europe}
@attribute program_vocabulary numeric
@attribute program_length numeric
@attribute calculated_estimated_program_length numeric
@attribute volume numeric
@attribute difficulty numeric
@attribute effort numeric
@attribute loc numeric
@attribute slocP numeric
@attribute lsloc numeric
@attribute comments numeric
@attribute blankLine numeric
@attribute cyclomatic_complexity numeric
@attribute numberOfFunction numeric
@attribute gender {male,female}

@data
31 ms,0 KB,India,Asia,27,124,128.381963,589.60605,0,0,13,9,9,4,0,5,2,male
31 ms,0 KB,China,Asia,43,135,193.209297,732.545742,28,20511.28077,17,10,8,7,2,6,2,male
31 ms,0 KB,India,Asia,56,149,269.263411,865.295883,23.62963,20446.62124,14,10,10,4,0,5,2,male
31 ms,0 KB,China,Asia,55,169,263.092881,977.049792,25.653846,25065.08504,17,13,13,4,0,6,2,male
31 ms,300 KB,China,Asia,32,121,145.636336,605,14.5,8772.5,20,15,15,5,0,7,2,male
31 ms,0 KB,China,Asia,32,123,145.636336,615,14.5,8917.5,20,15,15,5,0,7,2,male
31 ms,0 KB,India,Asia,28,130,134.605938,624.95614,0,0,15,11,11,4,0,5,2,male
46 ms,0 KB,India,Asia,29,128,126.96632,621.821567,13,8083.680376,18,15,15,3,0,6,2,male
31 ms,0 KB,China,Asia,45,162,205.810077,889.680202,26,23131.68524,26,21,21,5,0,7,2,male
31 ms,0 KB,'United States',America,31,122,142.881449,604.41195,14.5,8763.973273,24,19,19,5,0,7,2,male
31 ms,300 KB,'South Korea',Asia,42,160,185.583273,862.770788,16.911765,14590.97656,23,17,15,6,2,5,2,male
30 ms,0 KB,Iran,Asia,44,152,197.868831,829.833606,29.382353,24382.46389,30,24,24,6,0,7,3,male
31 ms,0 KB,China,Asia,54,177,256.977854,1018.615088,16.810345,17123.27087,23,18,18,5,0,5,2,male
31 ms,0 KB,China,Asia,54,177,256.977854,1018.615088,16.810345,17123.27087,23,18,18,5,0,5,2,male
31 ms,3600 KB,Vietnam,Asia,54,159,257.622011,915.027113,37.065217,33915.67886,28,20,17,8,3,6,3,male
31 ms,0 KB,Vietnam,Asia,41,130,181.684932,696.481761,23.142857,16118.57789,27,17,15,10,2,6,2,male
31 ms,0 KB,Iran,Asia,29,129,140.881449,626.679548,0,0,19,13,11,6,2,6,2,male
31 ms,0 KB,China,Asia,47,169,216.693586,938.725516,25.588235,24020.32938,17,13,13,4,0,7,2,male
31 ms,200 KB,China,Asia,31,121,142.881449,599.457754,14.5,8692.137427,33,28,28,5,0,6,2,male
31 ms,0 KB,China,Asia,41,160,181.684932,857.208321,19.285714,16531.87476,23,19,19,4,0,7,2,male
31 ms,0 KB,China,Asia,44,178,200.509687,971.778828,31.071429,30194.55645,30,25,25,5,0,6,2,male
31 ms,0 KB,China,Asia,36,119,171.219893,615.221075,16.5,10151.14774,19,15,15,4,0,6,3,male
31 ms,0 KB,China,Asia,39,151,170.317149,798.095735,18,14365.72323,34,27,24,7,3,5,2,male
31 ms,800 KB,'South Korea',Asia,34,128,172.973737,651.195244,0,0,39,34,34,5,0,8,2,male
46 ms,0 KB,Bulgaria,Europe,36,145,171.219893,749.639125,22,16492.06075,31,27,27,4,0,8,3,male
31 ms,0 KB,China,Asia,37,109,171.609641,567.830417,19.2,10902.344,31,26,25,5,1,7,2,male
30 ms,0 KB,Mexico,America,33,133,143.891738,670.904418,18,12076.27952,30,22,17,8,5,6,2,male
31 ms,0 KB,Indonesia,Asia,37,115,177.728624,599.087137,17,10184.48133,36,29,26,7,3,6,2,male
46 ms,0 KB,China,Asia,34,118,162,600.320615,16,9605.129844,37,33,33,4,0,5,2,male
31 ms,0 KB,China,Asia,42,167,186.211433,900.51701,21.9375,19755.0919,34,27,24,7,3,6,2,male
31 ms,0 KB,Finland,Europe,33,119,151.961605,600.2829,15,9004.243503,38,20,12,18,8,6,2,male
46 ms,0 KB,India,Asia,29,130,130.381963,631.537529,13.5,8525.756646,36,28,25,8,3,6,2,male
31 ms,0 KB,Ukraine,Europe,45,146,202.149421,801.810552,25.090909,20118.15567,30,21,17,9,4,5,2,male
31 ms,0 KB,India,Asia,30,118,136.605938,579.01309,14,8106.183264,32,20,15,12,5,6,2,male
31 ms,0 KB,'South Korea',Asia,35,128,156.391224,656.548226,19.333333,12693.26571,30,22,19,8,3,6,2,male
46 ms,0 KB,China,Asia,45,140,204.881449,768.859434,29,22296.92357,26,23,23,3,0,6,2,female
31 ms,0 KB,Syria,Asia,30,112,136.605938,549.571747,14,7694.004454,29,20,15,9,5,6,2,male
31 ms,0 KB,Iran,Asia,34,131,150.115713,666.457632,18.666667,12440.54247,29,21,16,8,5,6,2,male
46 ms,0 KB,China,Asia,58,214,281.812656,1253.607933,34.066667,42706.24358,25,18,15,7,3,5,2,male
31 ms,0 KB,China,Asia,37,126,171.609641,656.391124,19.2,12602.70958,37,24,16,13,8,6,3,male
31 ms,0 KB,India,Asia,34,108,152.491089,549.445987,14.5,7966.966809,30,24,23,6,1,5,2,male
46 ms,0 KB,Romania,Europe,43,160,190.480487,868.202361,24.15,20967.08701,31,24,20,7,4,7,3,male
31 ms,3700 KB,Taiwan,Asia,41,165,185.260466,883.996081,19.090909,16876.28881,27,23,23,4,0,6,2,male
31 ms,0 KB,China,Asia,31,123,142.881449,609.366146,14.5,8835.80912,31,22,18,9,4,6,2,male
31 ms,0 KB,'United States',America,40,131,180.425999,697.17258,18,12549.10645,26,21,19,5,2,6,2,male
31 ms,0 KB,'South Korea',Asia,38,159,167.825219,834.420475,16.8,14018.26397,30,20,17,10,3,6,2,male
31 ms,0 KB,China,Asia,31,110,142.881449,544.961594,14.5,7901.943115,30,24,22,6,2,6,2,male
31 ms,0 KB,Ukraine,Europe,39,127,181.974781,671.246082,22,14767.4138,32,24,20,8,4,6,2,male
31 ms,0 KB,Bangladesh,Asia,33,109,155.580086,549.838959,15.5,8522.503865,32,24,20,8,4,7,2,male
31 ms,0 KB,Bangladesh,Asia,32,136,139.991603,680,13.5,9180,40,28,20,12,8,6,2,male
31 ms,300 KB,India,Asia,33,127,146.215578,640.638053,19.6,12556.50584,31,21,15,10,6,6,2,male
31 ms,0 KB,Serbia,Europe,36,133,174.973737,687.600025,17,11689.20043,27,19,16,8,3,6,2,female
31 ms,0 KB,'South Korea',Asia,35,132,158.816358,677.065358,18,12187.17645,30,14,11,16,3,5,2,male
31 ms,0 KB,China,Asia,35,174,152.381963,892.495245,16.875,15060.85726,44,41,40,3,1,9,2,male
31 ms,0 KB,Ukraine,Europe,32,159,160,795,0,0,28,22,22,6,0,6,2,male
31 ms,0 KB,China,Asia,51,165,242.460605,935.950181,32,29950.40581,32,21,18,11,3,6,2,male
31 ms,0 KB,China,Asia,53,239,250.920549,1368.972989,51.354167,70302.46702,26,18,15,8,3,7,2,male
31 ms,0 KB,China,Asia,33,153,151.961605,771.7923,15,11576.8845,32,24,24,8,0,7,2,male
46 ms,300 KB,China,Asia,48,174,220.13833,971.783475,30.434783,29576.01881,24,16,12,8,4,5,2,male
31 ms,200 KB,China,Asia,32,135,145.636336,675,14.5,9787.5,41,25,16,16,9,6,2,male
31 ms,0 KB,China,Asia,32,136,145.636336,680,14.5,9860,41,25,16,16,9,6,2,male
31 ms,300 KB,China,Asia,57,217,275.58868,1265.737133,40,50629.48532,33,25,21,8,4,9,2,female
31 ms,0 KB,Iran,Asia,44,172,197.868831,939.022238,27,25353.60044,29,16,11,13,5,6,2,male
31 ms,0 KB,'South Korea',Asia,35,136,158.816358,697.58249,18,12556.48483,30,14,11,16,3,5,2,male
31 ms,200 KB,China,Asia,33,136,151.961605,686.0376,15,10290.564,28,22,20,6,2,8,2,male
31 ms,300 KB,China,Asia,32,139,149.206718,695,15,10425,29,25,25,4,0,6,2,male
31 ms,0 KB,China,Asia,32,139,149.206718,695,15,10425,29,25,25,4,0,6,2,male
46 ms,0 KB,India,Asia,42,179,187.908907,965.224819,32,30887.1942,33,24,19,9,5,5,2,male
31 ms,0 KB,Vietnam,Asia,48,143,220.620628,798.649638,28.285714,22590.37546,33,24,21,9,3,5,2,male
31 ms,0 KB,Croatia,Europe,32,128,145.636336,640,14.5,9280,41,26,19,15,7,6,2,male
31 ms,0 KB,India,Asia,32,152,145.636336,760,19.333333,14693.33333,33,25,25,8,0,7,2,male
31 ms,0 KB,'South Korea',Asia,32,132,139.991603,660,13.5,8910,39,35,35,4,0,7,2,male
46 ms,0 KB,Bangladesh,Asia,30,155,136.605938,760.568042,14,10647.95259,29,23,21,6,2,6,2,male
31 ms,0 KB,China,Asia,44,182,197.868831,993.616555,36.529412,36296.22826,29,14,11,15,3,5,2,male
31 ms,0 KB,Singapore,Asia,41,196,179.525968,1050.080193,29.647059,31131.78925,34,23,16,11,7,8,3,male
31 ms,0 KB,Argentina,America,38,127,175.509775,666.486794,21.333333,14218.38494,39,27,20,12,7,10,3,male
31 ms,3700 KB,China,Asia,56,269,269.67649,1562.178474,46.774194,73069.6383,19,14,14,5,0,6,2,male
