time,memory,country,continent,program_vocabulary,program_length,calculated_estimated_program_length,volume,difficulty,effort,loc,slocP,lsloc,comments,blankLine,cyclomatic_complexity,numberOfFunction,gender
530 ms,19500 KB,India,Asia,55,224,263.6191856,1295.024576,26.47916667,34291.17158,35,28,25,7,3,10,2,male
389 ms,21100 KB,India,Asia,47,213,218.6033589,1183.127425,25.6,30288.06209,50,41,36,9,5,8,2,male
108 ms,20900 KB,India,Asia,46,242,217.5786534,1336.701993,35,46784.56977,45,36,29,9,7,10,2,male
108 ms,21800 KB,India,Asia,46,214,215.9932866,1182.042259,31.16666667,36840.31706,43,33,28,10,5,11,3,male
108 ms,18200 KB,United States,North America,48,225,225.0683649,1256.616563,41.8,52526.57232,41,35,32,6,3,10,2,male
373 ms,21100 KB,India,Asia,48,221,225.0683649,1234.276713,25.3,31227.20083,54,40,30,14,10,10,2,male
561 ms,15700 KB,Bangladesh,Asia,51,211,240.7106228,1196.881747,23.57894737,28221.21172,35,33,33,2,0,10,2,male
592 ms,18600 KB,India,Asia,41,241,188.529325,1291.170033,26.66666667,34431.20088,58,56,56,2,0,10,2,male
124 ms,27000 KB,Unknown,Unknown,51,248,241.523656,1406.761485,27.5,38685.94083,52,43,40,9,3,9,2,male
499 ms,20600 KB,India,Asia,41,239,192.6252211,1280.454929,31.57142857,40425.79133,56,51,50,5,1,11,2,male
530 ms,26400 KB,India,Asia,41,235,190.4650059,1259.024721,26.8125,33757.60033,55,51,51,4,0,12,2,male
108 ms,11300 KB,China,Asia,77,403,405.7769322,2525.514976,41.70731707,105332.4539,35,30,30,5,0,20,2,male
108 ms,18200 KB,India,Asia,40,250,201.4212455,1330.482024,19,25279.15845,59,49,46,10,3,11,2,male
436 ms,16700 KB,Jordan,Asia,52,258,248.0323866,1470.713447,28.33333333,41670.21434,46,30,22,16,8,10,2,male
545 ms,23500 KB,Bangladesh,Asia,47,246,221.0794529,1366.428858,27.46153846,37524.23863,60,46,38,14,8,9,2,male
343 ms,16700 KB,China,Asia,56,315,271.0812322,1829.3168,27.81818182,50888.26736,38,35,35,3,0,15,5,male
343 ms,16700 KB,China,Asia,56,315,271.0812322,1829.3168,27.81818182,50888.26736,38,35,35,3,0,15,5,male
529 ms,18600 KB,India,Asia,41,225,192.6252211,1205.449201,38.85714286,46840.31181,52,40,40,12,0,10,2,male
561 ms,25500 KB,India,Asia,49,252,231.5770955,1414.906881,23.8,33674.78376,59,53,52,6,1,10,3,male
546 ms,18600 KB,India,Asia,43,238,203.5249056,1291.451012,26.25,33900.58906,68,58,50,10,8,12,2,male
530 ms,16500 KB,China,Asia,53,315,254.5835556,1804.294943,36.94444444,66658.67429,59,55,55,4,0,16,3,male
608 ms,24400 KB,India,Asia,66,304,333.1049912,1837.495812,41.77419355,76759.90571,56,53,53,3,0,14,3,male
592 ms,32300 KB,India,Asia,49,240,232.8278745,1347.530363,32.5,43794.73678,42,33,27,9,6,9,2,male
545 ms,18600 KB,India,Asia,58,295,284.2247957,1728.104394,36.81818182,63625.66176,59,54,53,5,1,13,3,male
77 ms,17600 KB,China,Asia,68,378,347.4830616,2301.060954,22.14285714,50952.06398,43,35,35,8,0,19,1,male
93 ms,14700 KB,Vietnam,Asia,67,323,340.7366244,1959.346809,40.39285714,79143.61573,53,42,35,11,7,18,1,male
109 ms,10800 KB,South Korea,Asia,79,406,419.2271063,2559.334984,45.80952381,117241.9169,39,33,31,6,2,21,1,male
62 ms,17600 KB,China,Asia,68,391,347.4830616,2380.197971,22.14285714,52704.38364,43,35,35,8,0,19,1,male
561 ms,24500 KB,China,Asia,70,407,359.0910367,2494.618188,54.52941176,136030.0624,48,44,44,4,0,14,2,male
420 ms,25000 KB,India,Asia,38,250,188.1173001,1311.981878,18,23615.67381,67,56,50,11,6,12,2,male
