time,memory,country,continent,program_vocabulary,program_length,calculated_estimated_program_length,volume,difficulty,effort,loc,slocP,lsloc,comments,blankLine,cyclomatic_complexity,numberOfFunction,gender
4898 ms,15400 KB,France,Europe,50,245,232.1928095,1382.744766,32,44247.83253,17,14,13,3,1,8,1,male
3462 ms,0 KB,China,Asia,54,249,256.8173705,1432.966988,27.46153846,39351.47806,24,21,21,3,0,13,3,male
3353 ms,11600 KB,Unknown,Unknown,52,257,244.4783673,1465.013008,24.53703704,35947.07843,36,30,28,6,2,10,1,male
670 ms,18800 KB,Indonesia,Asia,68,280,346.1173001,1704.489596,38.25,65196.72703,31,28,28,3,0,13,2,male
702 ms,14100 KB,India,Asia,66,271,333.6312234,1638.030806,39.55172414,64786.94258,35,31,31,4,0,13,2,female
1528 ms,11800 KB,Syria,Asia,66,255,333.3240179,1541.3205,37.2,57337.12262,38,31,29,7,2,14,2,male
1309 ms,10600 KB,China,Asia,55,280,264.5725015,1618.78072,28.5,46135.25051,27,15,15,12,0,4,1,female
1669 ms,11600 KB,China,Asia,55,256,262.9879004,1480.028087,26.03571429,38533.5884,44,27,19,17,8,9,1,female
561 ms,9400 KB,China,Asia,81,381,433.2506894,2415.482851,53.2,128503.6877,31,27,27,4,0,17,2,male
1325 ms,9400 KB,China,Asia,65,279,328.3421192,1680.24062,43.5,73090.46696,35,31,31,4,0,15,2,male
623 ms,11800 KB,Unknown,Unknown,79,335,419.4466845,2111.766551,41.02325581,86631.53943,34,29,29,5,0,14,2,male
748 ms,11800 KB,China,Asia,77,299,405.551932,1873.769176,34.89473684,65384.68229,34,25,25,9,0,8,2,male
779 ms,10600 KB,India,Asia,60,262,295.1851693,1547.605336,38.57692308,59701.852,47,37,31,10,6,14,2,male
592 ms,12900 KB,China,Asia,72,324,372.2746801,1999.0557,39.64285714,79248.27955,41,36,36,5,0,13,2,male
1419 ms,75100 KB,Iran,Asia,56,241,271.0812322,1399.572536,35.54545455,49748.44197,38,29,27,9,2,6,1,male
529 ms,11800 KB,China,Asia,78,338,412.4094067,2124.46595,56.85365854,120783.6617,37,28,24,9,4,14,2,male
686 ms,9400 KB,Kyrgyzstan,Asia,60,250,296.7916995,1476.722649,25.73913043,38009.55688,32,27,27,5,0,14,2,male
561 ms,12800 KB,Unknown,Unknown,79,345,419.4466845,2174.804358,51.48837209,111977.136,29,24,24,5,0,14,2,female
561 ms,12700 KB,Unknown,Unknown,79,345,419.4466845,2174.804358,51.48837209,111977.136,29,24,24,5,0,14,2,female
779 ms,10600 KB,Taiwan,Asia,64,277,320.7232379,1662,36,59832,44,33,28,11,5,14,2,male
1372 ms,39100 KB,China,Asia,63,269,316.1697866,1607.888299,44.6875,71852.50838,39,35,35,4,0,13,2,male
1419 ms,9500 KB,Finland,Europe,62,312,307.2067179,1857.709249,43.2,80253.03955,54,38,27,16,11,14,3,male
810 ms,19300 KB,Georgia,AsiaEurope,62,255,309.4603455,1518.320059,19.79166667,30050.0845,39,36,36,3,0,14,1,male
997 ms,300600 KB,China,Asia,63,301,313.8551855,1799.161257,27.29411765,49106.51901,51,44,44,7,0,10,2,male
1075 ms,18900 KB,India,Asia,39,246,190.8721876,1300.208946,18,23403.76103,47,40,37,7,3,13,3,male
4991 ms,2600 KB,Russia,AsiaEurope,66,289,333.1049912,1746.8299,32.77142857,57246.11131,36,29,29,7,0,11,2,male
592 ms,11800 KB,China,Asia,64,321,322.2270913,1926,31.2,60091.2,46,41,41,5,0,15,2,male
623 ms,11800 KB,China,Asia,64,323,322.2270913,1938,31.2,60465.6,46,41,41,5,0,15,2,male
4476 ms,29400 KB,India,Asia,54,256,257.2458179,1473.251201,36.25,53405.35602,49,32,22,17,10,6,2,female
483 ms,10900 KB,China,Asia,66,316,333.1049912,1910.028542,49.11290323,93807.04693,52,46,46,6,0,17,3,male
592 ms,39100 KB,China,Asia,65,287,329.6987322,1728.419562,46.97916667,81199.71069,39,33,33,6,0,13,2,male
872 ms,17600 KB,Unknown,Unknown,67,295,339.6973857,1789.496311,37.16129032,66499.99195,44,36,35,8,1,14,2,male
888 ms,21100 KB,Syria,Asia,53,261,253.6843594,1494.987239,38.47368421,57517.66692,29,25,25,4,0,13,1,male
701 ms,11800 KB,Unknown,Unknown,65,291,327.8032081,1752.509034,42.92592593,75228.07296,56,47,46,9,1,14,2,male
779 ms,15700 KB,Serbia,Europe,59,234,290.8572701,1376.538474,26.90909091,37041.39892,39,32,29,7,3,14,2,female
764 ms,15400 KB,South Korea,Asia,70,322,359.2147805,1973.629131,42.60606061,84088.56239,42,34,30,8,4,15,2,male
4383 ms,12300 KB,South Korea,Asia,66,326,333.1049912,1970.472483,50.24193548,99000.35136,42,35,35,7,0,17,2,male
748 ms,10600 KB,China,Asia,65,331,326.5538222,1993.403746,62.51612903,124619.8858,45,43,43,2,0,16,2,male
2573 ms,65700 KB,Russia,AsiaEurope,66,257,333.3240179,1553.409289,35.4,54990.68882,41,35,33,6,2,13,1,male
1325 ms,12900 KB,China,Asia,59,332,288.1860234,1953.037492,43.80645161,85555.64241,43,34,31,9,3,10,1,male
810 ms,19600 KB,China,Asia,63,273,314.9612072,1631.797419,41.98076923,68504.11088,58,51,51,7,0,14,2,male
904 ms,35200 KB,South Korea,Asia,52,268,251.3531335,1527.717844,46.86666667,71599.04298,52,40,35,12,5,14,2,male
670 ms,9500 KB,Argentina,South America,68,259,346.6279634,1576.652876,36.1,56917.16882,43,29,22,14,7,7,2,male
794 ms,9400 KB,Unknown,Unknown,68,306,346.3298602,1862.763629,38.19354839,71145.55281,52,37,30,15,7,14,2,male
732 ms,9400 KB,China,Asia,92,376,510.1851706,2452.859295,45.74074074,112195.6011,35,28,28,7,0,15,2,male
2121 ms,9500 KB,Hong Kong,Asia,74,328,385.6555921,2036.700704,49.80769231,101443.362,42,38,38,4,0,12,1,male
2511 ms,32800 KB,Russia,AsiaEurope,66,261,333.3240179,1577.586865,35.4,55846.57503,42,36,34,6,2,13,1,male
2589 ms,65700 KB,Russia,AsiaEurope,66,261,333.3240179,1577.586865,35.4,55846.57503,42,36,34,6,2,13,1,male
888 ms,24900 KB,India,Asia,64,276,321.1317371,1656,37,61272,56,44,39,12,5,12,2,male
1247 ms,10600 KB,China,Asia,67,291,340.7366244,1765.231954,44.57142857,78678.90997,41,32,29,9,3,15,2,male
779 ms,11800 KB,Austria,Europe,70,301,359.2147805,1844.914188,44.28787879,81707.33594,53,41,36,12,5,15,2,male
4507 ms,166600 KB,Mexico,North America,34,217,172.9737366,1103.979437,0,0,32,25,25,7,0,3,1,male
810 ms,29400 KB,India,Asia,55,272,263.6191856,1572.529842,37.45833333,58904.347,52,34,23,18,11,6,2,female
1731 ms,15400 KB,Brazil,South America,61,268,301.0709438,1589.437606,37.125,59007.87114,43,27,19,16,8,7,1,male
2386 ms,1200 KB,Romania,Europe,47,235,215.9400989,1305.32838,31.41666667,41009.06661,37,20,14,17,6,7,1,male
3400 ms,1300 KB,Russia,AsiaEurope,65,300,326.4650059,1806.710344,33.93939394,61318.6541,38,29,29,9,0,11,2,male
483 ms,15300 KB,China,Asia,69,346,352.4986422,2113.549462,45.65714286,96498.62972,47,38,37,9,1,16,2,male
794 ms,9500 KB,India,Asia,55,255,268.9081138,1474.246727,24.58823529,36249.1254,62,47,42,15,5,14,2,male
4679 ms,9800 KB,Ukraine,Europe,61,304,301.0709438,1802.944151,38.30357143,69059.20005,60,52,49,8,3,16,2,male
717 ms,11700 KB,Bangladesh,Asia,66,312,334.5126491,1885.850965,46.94444444,88530.22587,48,42,41,6,1,17,2,male
498 ms,9400 KB,Russia,AsiaEurope,69,277,352.582306,1692.061275,33.91666667,57389.07823,35,32,32,3,0,11,1,male
1762 ms,9400 KB,Brazil,South America,62,292,307.2067179,1738.625323,44.8,77890.41445,46,26,17,20,9,8,2,male
701 ms,14100 KB,China,Asia,81,366,435.1207824,2320.385101,34.93877551,81071.41414,30,25,25,5,0,15,3,male
514 ms,24500 KB,China,Asia,73,460,379.1044231,2847.319297,69.74358974,198582.2689,35,29,29,6,0,21,1,female
2090 ms,23500 KB,China,Asia,71,315,366.1306865,1937.170343,62.15625,120407.2441,54,41,34,13,7,13,2,male
795 ms,11800 KB,China,Asia,72,360,372.2746801,2221.173001,49.68571429,110360.5671,52,43,40,9,3,19,2,male
576 ms,11800 KB,China,Asia,78,372,412.2983693,2338.169625,65.075,152156.3884,41,30,26,11,4,15,2,male
904 ms,29400 KB,India,Asia,72,301,372.3949821,1857.147425,28.18421053,52342.23402,35,25,25,10,0,9,1,male
1730 ms,100 KB,Taiwan,Asia,39,232,184.5833771,1226.213315,17,20845.62635,41,19,16,22,3,4,1,male
857 ms,9500 KB,China,Asia,66,304,333.6312234,1837.495812,58.05172414,106669.8,63,57,56,6,1,14,2,male
4601 ms,12300 KB,United States,North America,63,263,313.8551855,1572.02462,26.86764706,42236.60265,39,29,27,10,2,10,1,male
795 ms,10600 KB,China,Asia,70,303,359.0498112,1857.172754,39,72429.73741,43,35,35,8,0,14,2,male
779 ms,15400 KB,South Korea,Asia,77,339,405.551932,2124.440637,37.02564103,78658.77642,46,38,34,8,4,16,2,male
701 ms,10600 KB,China,Asia,85,357,460.8279746,2288.152564,48.94791667,112000.301,39,31,29,8,2,14,2,male
592 ms,9400 KB,China,Asia,67,347,339.4387425,2104.932949,39.66666667,83495.67365,49,41,41,8,0,16,2,male
764 ms,9500 KB,Norway,Europe,57,289,276.504106,1685.705214,62.5625,105461.9325,42,35,33,7,2,12,1,male
841 ms,24900 KB,India,Asia,42,257,201.6270751,1385.825578,21,29102.33713,49,41,41,8,0,8,1,male
4336 ms,15500 KB,Georgia,AsiaEurope,61,312,301.0709438,1850.390049,43.01785714,79599.8148,62,46,35,16,11,14,2,male
966 ms,23500 KB,Belarus,Europe,73,348,378.9461511,2154.058946,53.74285714,115765.2822,56,44,44,12,0,13,2,female
701 ms,11800 KB,Unknown,Unknown,71,323,366.1306865,1986.36832,42.046875,83520.58044,56,48,47,8,1,14,2,male
592 ms,11800 KB,China,Asia,67,283,339.9564924,1716.703241,34.53333333,59283.48525,47,38,35,9,3,8,2,male
702 ms,16600 KB,Romania,Europe,59,310,290.8572701,1823.619345,66.43181818,121146.3488,54,40,31,14,9,14,2,male
576 ms,11800 KB,China,Asia,82,398,439.3544556,2530.305698,53.80952381,136154.5447,46,34,31,12,3,17,3,male
686 ms,11900 KB,South Korea,Asia,77,404,405.551932,2531.781762,76,192415.4139,53,38,29,15,9,16,2,male
1481 ms,11800 KB,China,Asia,66,305,332.9737366,1843.540206,39.3125,72474.17436,42,27,27,15,0,16,2,female
857 ms,11900 KB,China,Asia,69,327,353.3374044,1997.487497,65,129836.6873,52,41,38,11,3,15,2,male
764 ms,10600 KB,Taiwan,Asia,72,334,372.2746801,2060.75495,60.25714286,124175.2054,48,37,32,11,5,15,2,female
